place_fips,place_name,full_fips,county_name,% difference
1976260,Sumner city,19017,Bremer County,96.59
2906256,Bland city,29073,Gasconade County,96.58
4550695,North Augusta city,45003,Aiken County,96.55
1350008,Martin town,13257,Stephens County,96.52
2611180,Brown City city,26151,Sanilac County,96.50
5533500,Hazel Green village,55043,Grant County,96.48
132536,Gu-Win town,01093,Marion County,96.46
4858016,Plano city,48085,Collin County,96.43
1760833,Plymouth village,17067,Hancock County,96.42
4835000,Houston city,48201,Harris County,96.41
1745031,Loves Park city,17201,Winnebago County,96.40
3929162,Galion city,39033,Crawford County,96.39
1358184,Omega city,13277,Tift County,96.39
4058700,Piedmont city,40017,Canadian County,96.37
4053550,Oaks town,40041,Delaware County,96.35
2715706,Dennison city,27049,Goodhue County,96.33
3758920,Saluda city,37149,Polk County,96.30
5505450,Bayside village,55079,Milwaukee County,96.28
4012900,Catoosa city,40131,Rogers County,96.26
2743198,Minnesota Lake city,27043,Faribault County,96.25
4838068,Josephine city,48085,Collin County,96.23
1819054,Dunkirk city,18075,Jay County,96.22
2935306,Ionia town,29015,Benton County,96.19
3913190,Centerville city,39113,Montgomery County,96.17
2711800,Clearwater city,27171,Wright County,96.16
4841980,League City city,48167,Galveston County,96.15
2836000,Jackson city,28049,Hinds County,96.15
140928,Lake View town,01125,Tuscaloosa County,96.11
167920,Sand Rock town,01019,Cherokee County,96.11
1759234,Peru city,17099,LaSalle County,96.11
1874744,Syracuse town,18085,Kosciusko County,96.09
4853824,Old River-Winfree city,48071,Chambers County,96.07
4567210,Smyrna town,45091,York County,96.05
4850772,Newark city,48497,Wise County,96.02
1361124,Pine Mountain town,13145,Harris County,95.99
2911242,Cape Girardeau city,29031,Cape Girardeau County,95.96
3950176,Milford city,39025,Clermont County,95.93
5170800,Scottsville town,51003,Albemarle County,95.90
4867688,Shoreacres city,48201,Harris County,95.88
4534810,Honea Path town,45007,Anderson County,95.87
2680340,Traverse City city,26055,Grand Traverse County,95.87
3735540,Kenly town,37101,Johnston County,95.84
4873710,Trophy Club town,48121,Denton County,95.84
4846824,Mart city,48309,McLennan County,95.84
2963857,Saddlebrooke village,29043,Christian County,95.76
1642400,Kamiah city,16061,Lewis County,95.75
3933740,Harrisburg village,39049,Franklin County,95.74
2007975,Bonner Springs city,20209,Wyandotte County,95.72
2079250,Willard city,20177,Shawnee County,95.70
2051825,Oakley city,20109,Logan County,95.66
4848804,Missouri City city,48157,Fort Bend County,95.65
4833548,Hico city,48193,Hamilton County,95.62
1379388,Vidalia city,13279,Toombs County,95.61
2922834,Eureka city,29189,St. Louis County,95.52
4225136,Falls Creek borough,42065,Jefferson County,95.43
4004450,Bartlesville city,40147,Washington County,95.41
3722620,Falcon town,37051,Cumberland County,95.38
1721696,East Dundee village,17089,Kane County,95.30
4878628,Whitewright town,48181,Grayson County,95.27
3735600,Kernersville town,37067,Forsyth County,95.18
4738320,Johnson City city,47179,Washington County,95.17
2706580,Blooming Prairie city,27147,Steele County,95.16
1380956,Waycross city,13299,Ware County,95.08
4140550,Lake Oswego city,41005,Clackamas County,95.07
2940034,Lake Ozark city,29131,Miller County,94.94
1812376,Chesterfield town,18095,Madison County,94.92
875640,Superior town,08013,Boulder County,94.90
2971728,Sunrise Beach village,29029,Camden County,94.89
1913980,Clearfield city,19173,Taylor County,94.86
2733866,La Crescent city,27055,Houston County,94.76
2930214,Hannibal city,29127,Marion County,94.72
3731400,High Point city,37081,Guilford County,94.71
2681360,Union City village,26023,Branch County,94.68
3925144,Elmore village,39123,Ottawa County,94.68
1944220,Le Grand city,19127,Marshall County,94.67
3766040,Surf City town,37141,Pender County,94.56
3716400,Davidson town,37119,Mecklenburg County,94.56
4700240,Adamsville town,47109,McNairy County,94.55
5303180,Auburn city,53033,King County,94.50
4850920,New Fairview city,48497,Wise County,94.41
4874732,Valley Mills city,48035,Bosque County,94.35
845530,Lochbuie town,08123,Weld County,94.31
4857476,Pilot Point city,48121,Denton County,94.22
4501450,Andrews town,45043,Georgetown County,94.22
3932088,Greenfield village,39071,Highland County,94.22
1976935,Tabor city,19071,Fremont County,94.19
2959186,Portageville city,29143,New Madrid County,94.16
3974076,Springboro city,39165,Warren County,94.09
