origin_statefips,origin_countyfips,dest_statefips,dest_countyfips,dest_stateabbr,dest_countyname,n_returns,n_individuals,adj_grossincome
44,7,12,99,FL,Palm Beach County,96,150,11446
44,7,9,9,CT,New Haven County,95,147,5571
44,7,25,9,MA,Essex County,84,126,4308
44,7,12,105,FL,Polk County,83,173,4493
44,7,12,11,FL,Broward County,82,130,5556
44,7,12,71,FL,Lee County,75,128,4093
44,7,4,13,AZ,Maricopa County,73,119,4990
44,7,12,86,FL,Miami-Dade County,72,115,3780
44,7,36,5,NY,Bronx County,71,119,1945
44,7,17,31,IL,Cook County,70,92,6397
44,7,37,119,NC,Mecklenburg County,70,102,3815
44,7,53,33,WA,King County,70,95,5966
44,7,12,103,FL,Pinellas County,68,103,3691
44,7,11,1,DC,District of Columbia,59,71,5802
44,7,37,183,NC,Wake County,57,92,5115
44,7,48,201,TX,Harris County,57,91,2765
44,7,33,11,NH,Hillsborough County,56,83,3331
44,7,42,101,PA,Philadelphia County,56,73,2704
44,7,25,13,MA,Hampden County,55,88,4278
44,7,6,73,CA,San Diego County,54,75,4989
44,7,12,115,FL,Sarasota County,54,104,7596
44,7,12,97,FL,Osceola County,51,107,2562
44,7,36,81,NY,Queens County,49,79,2480
44,7,9,1,CT,Fairfield County,48,59,3061
44,7,9,13,CT,Tolland County,45,71,2541
44,7,48,113,TX,Dallas County,43,58,5231
44,7,34,17,NJ,Hudson County,42,69,3181
44,7,6,85,CA,Santa Clara County,40,50,3002
44,7,12,81,FL,Manatee County,39,59,3057
44,7,23,5,ME,Cumberland County,39,69,3517
44,7,12,9,FL,Brevard County,38,63,2671
44,7,12,31,FL,Duval County,38,71,1397
44,7,48,453,TX,Travis County,38,47,2278
44,7,57,3,FR,Foreign - Puerto Rico,38,59,848
44,7,32,3,NV,Clark County,36,54,2771
44,7,12,101,FL,Pasco County,35,65,1756
44,7,6,75,CA,San Francisco County,34,34,2521
44,7,42,3,PA,Allegheny County,34,62,3130
44,7,12,21,FL,Collier County,33,60,5961
44,7,13,121,GA,Fulton County,33,49,3236
44,7,13,135,GA,Gwinnett County,33,58,1185
44,7,24,31,MD,Montgomery County,33,51,2230
44,7,45,51,SC,Horry County,33,54,2135
44,7,12,15,FL,Charlotte County,32,59,2839
44,7,12,69,FL,Lake County,32,73,2189
44,7,23,31,ME,York County,31,42,1960
44,7,33,9,NH,Grafton County,31,42,1796
44,7,36,103,NY,Suffolk County,31,51,1449
44,7,12,117,FL,Seminole County,28,42,1304
44,7,12,127,FL,Volusia County,28,58,1446
44,7,25,15,MA,Hampshire County,28,45,1303
44,7,24,510,MD,Baltimore city,27,36,1737
44,7,36,119,NY,Westchester County,27,40,1630
44,7,48,85,TX,Collin County,27,71,2710
44,7,8,31,CO,Denver County,26,30,1943
44,7,9,7,CT,Middlesex County,26,32,1586
44,7,12,83,FL,Marion County,26,49,1607
44,7,36,55,NY,Monroe County,26,38,1215
44,7,13,89,GA,DeKalb County,25,45,1133
44,7,34,31,NJ,Passaic County,25,50,549
44,7,51,59,VA,Fairfax County,25,38,1648
44,7,6,59,CA,Orange County,24,33,2274
44,7,12,35,FL,Flagler County,24,43,1245
44,7,12,111,FL,St. Lucie County,24,47,2081
44,7,42,91,PA,Montgomery County,24,33,1477
44,7,45,45,SC,Greenville County,24,55,1560
44,7,48,121,TX,Denton County,24,43,2021
44,7,33,15,NH,Rockingham County,23,34,1940
44,7,34,13,NJ,Essex County,23,38,1472
44,7,34,23,NJ,Middlesex County,23,27,1041
44,7,36,67,NY,Onondaga County,23,28,1236
44,7,12,109,FL,St. Johns County,21,36,1739
44,7,39,49,OH,Franklin County,21,38,1240
44,7,12,119,FL,Sumter County,20,30,1733
44,7,36,59,NY,Nassau County,20,27,1565
44,7,48,29,TX,Bexar County,20,43,1762
44,9,44,9,RI,Washington County Non-migrants,51125,96258,5655289
44,9,44,3,RI,Kent County,629,949,48509
44,9,44,7,RI,Providence County,527,761,35251
44,9,9,11,CT,New London County,374,621,25000
44,9,44,5,RI,Newport County,123,178,8215
44,9,25,25,MA,Suffolk County,60,62,4368
44,9,25,17,MA,Middlesex County,53,72,4647
44,9,25,5,MA,Bristol County,42,55,2620
44,9,9,3,CT,Hartford County,41,73,3067
44,9,36,61,NY,New York County,39,56,6162
